BBL,BldgArea,Energy (kBtu)
1008400006,121060,17638442.0
1008400013,63412,3804720.0
1008400016,76000,6536000.0
1008400023,92739,7586050.2
1008400031,60449,2835058.1
1008400042,662729,44071478.5
1008400058,51273,2768742.0
1008400071,157748,12146596.0
1008407501,53775,2893095.0
1008410001,216932,13905341.2
1008410008,114421,7242849.3
1008410018,51000,4115700.0
1008410020,208528,18183641.6
1000167507,106271,6833225.3
1000167508,428589,37758690.9
1000167509,194762,19768343.0
1000167510,251929,19977969.7
1000167511,157584,17854267.2
1000167512,628200,110751660.0
1000167513,523677,27964351.8
1000167514,344863,27554553.700000003
1000167515,251430,19536111.0
1000167516,507070,39500753.0
1000167517,407751,49541746.5
1000167518,230066,19095478.0
1000167519,233010,18011673.0
1000167520,377325,27167400.0
1000167521,289251,17210434.5
1000170029,335114,25066527.2
1000187501,366124,38992206.0
1000200001,316150,23837710.0
1000200004,447452,38794088.4
1000200009,368315,30901628.500000004
1000200016,309381,22894194.0
1000210001,650740,32667148.0
1000210004,335184,25675094.4
1000220020,389927,35717313.199999996
1000220024,300676,16386842.0
1000230019,240279,72444118.5
1000230050,466820,18906210.0
1000240001,974958,83358909.0
1008410027,79056,6213801.6
1008410054,115307,12441625.3
1008410069,69925,5803775.0
1008410071,124035,19138600.5
1008410089,61304,7344219.2
1008420007,443389,53206680.0
1008420042,132121,17202154.2
1008427501,175750,3427125.0
1008430003,63255,3978739.5
1008430020,87545,6154413.5
1008430022,238204,14173138.0
1008430045,272566,26466158.599999998
1008437501,52396,4741838.0
1008440001,103022,10127062.6
1008440003,57820,3029768.0
1008440017,118067,18194124.7
1008447501,43819,2800034.1
1008460002,71985,3469677.0
1008460026,75799,4494880.7
1008460030,120822,13350831.0
1008460033,237139,17287433.1
1008460071,102017,7610468.199999999
1008467501,49609,2619355.1999999997
1008467502,48771,4121149.5
1008470001,214700,16660719.999999998
1000240036,205940,9740962.0
1000247501,239204,28608798.4
1000250001,406025,38166350.0
1000250027,237000,18343800.0
1000257501,377483,42806572.2
1000260014,377214,28668264.0
1000260021,493187,29640538.7
1000267501,810798,46296565.800000004
1000270009,400531,12776938.899999999
1000270017,303175,10853665.0
