#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.93 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2005.4745,8.34000,,,
2005.4746,,17.64000,,
2005.5017,6.19000,16.77000,,
2005.5289,,19.08000,,
2005.5291,11.01000,,,
2005.5560,,15.27000,,
2005.5561,14.34000,,,
2005.5831,17.57000,,,
2005.5833,,16.94000,,
2005.6102,15.67000,,,
2005.6103,,14.75000,,
2005.6376,,15.52000,,
2005.6377,9.80000,,,
2005.6646,,17.27000,,
2005.6647,8.11000,,,
2005.6917,12.88000,,,
2005.6918,,18.03000,,
2005.7137,,17.46000,,
2005.7190,17.62000,,,
2005.7462,16.05000,,,
2005.7511,,17.14000,,
2005.7656,16.03000,,,
2005.7734,,17.89000,,
2005.8004,,16.59000,,
2005.8275,,16.96000,,
2005.8547,,19.98000,,
2005.8818,,19.46000,,
2005.9091,,18.03000,,
2005.9362,,19.04000,,
2005.9633,,20.00000,,
2005.9906,,20.46000,,
2006.0176,,18.79000,,
2006.0447,,14.35000,,
2006.0719,,17.09000,,
2006.0991,,17.86000,,
2006.1262,,16.84000,,
2006.1535,,16.94000,,
2006.1804,,17.88000,,
2006.2076,,13.59000,,
2006.2347,,17.30000,,
2006.2619,,16.36000,,
2006.2890,,16.08000,,
2006.3163,,16.00000,,
2006.3433,,16.31000,,
2006.3705,,19.71000,,
2006.3975,,19.76000,,
2006.4248,,19.33000,,
2006.4519,,18.78000,,
2006.4791,,18.07000,,
2006.5064,,19.56000,,
2006.5334,,19.24000,,
2006.5605,,18.49000,,
2006.5877,,16.84000,,
2006.6148,,14.22000,,
2006.6420,,17.39000,,
2006.6691,,19.92000,,
2006.6963,,19.70000,,
2006.7235,,20.52000,,
2006.7507,,19.46000,,
2006.7777,,20.69000,,
2006.8049,,19.94000,,
2006.8244,,19.45000,,
2006.8894,,17.87000,,
2006.9135,,16.90000,,
2006.9403,,21.42000,,
2006.9679,,20.13000,,
2006.9949,,19.07000,,
2007.0220,,16.40000,,
2007.0492,,14.95000,,
2007.0765,,18.07000,,
2007.1035,,17.00000,,
2007.1303,,16.54000,,
2007.1578,,18.42000,,
2007.1849,,16.74000,,
2007.2121,,18.23000,,
2007.2392,,18.73000,,
2007.2660,,21.48000,,
2007.2935,,21.40000,,
2007.3207,,20.52000,,
2007.3479,,14.83000,,
2007.3750,,19.82000,,
2007.4022,,21.06000,,
2007.4292,,18.92000,,
2007.4564,,15.54000,,
2007.4836,,15.50000,,
2007.5107,,16.36000,,
2007.5378,,15.20000,,
2007.5650,,14.62000,,
2007.5921,,16.33000,,
2007.6193,,19.49000,,
2007.6466,,16.84000,,
2007.6736,,15.08000,,
2007.7007,,15.29000,,
2007.7279,,20.53000,,
2007.7550,,19.71000,,
2007.7822,,17.89000,,
2007.8093,,17.81000,,
2007.8365,,15.49000,,
2007.8637,,19.04000,,
2007.8908,,23.71000,,
2007.9180,,22.87000,,
2007.9451,,20.84000,,
2007.9723,,15.95000,,
2007.9995,,17.90000,,
2008.0266,,19.12000,,
2008.0537,,22.44000,,
2008.0808,,22.13000,,
2008.1080,,19.94000,,
2008.1351,,21.26000,,
2008.1623,,18.30000,,
2008.1894,,21.49000,,
2008.2166,,21.97000,,
2008.2437,,21.06000,,
2008.2709,,19.60000,,
2008.2981,,20.92000,,
2008.3253,,20.74000,,
2008.3456,,19.92000,,
2008.3795,,25.33000,,
2008.4066,,25.26000,,
2008.4338,,23.00000,,
2008.4609,,21.70000,,
2008.4881,,23.43000,,
2008.5152,,24.45000,,
2008.5423,,24.25000,,
2008.5425,,,22.40000,
2008.5695,,22.23000,21.57000,
2008.5922,,21.23000,,
2008.5968,,,19.57000,
2008.6238,,,22.06000,
2008.6507,,,20.63000,
2008.6509,,18.41000,,
2008.6781,,,20.52000,
2008.6782,,20.94000,,
2008.7052,,19.37000,19.46000,
2008.7324,,20.75000,21.10000,
2008.7595,,22.57000,21.52000,
2008.7867,,21.50000,22.15000,
2008.8138,,23.68000,22.72000,
2008.8410,,,21.13000,
2008.8411,,21.52000,,
2008.8681,,24.53000,23.46000,
2008.8953,,23.95000,22.35000,
2008.9224,,,26.94000,
2008.9225,,27.36000,,
2008.9496,,22.45000,22.46000,
2008.9768,,,21.04000,
2008.9769,,20.67000,,
2009.0039,,22.92000,22.81000,
2009.0310,,23.83000,,
2009.0316,,,23.43000,
2009.0582,,23.34000,22.90000,
2009.0853,,,22.24000,
2009.1124,,,19.94000,
2009.1267,,20.45000,,
2009.1396,,,21.90000,
2009.1531,,23.64000,,
2009.1667,,,23.14000,
2009.1803,,26.98000,,
2009.1939,,,24.09000,
2009.2074,,27.58000,,
2009.2210,,,24.69000,
2009.2346,,27.10000,,
2009.2482,,,24.77000,
2009.2618,,26.06000,,
2009.2753,,,24.13000,
2009.2889,,23.68000,,
2009.3025,,,24.90000,
2009.3160,,25.90000,,
2009.3296,,,25.05000,
2009.3432,,27.91000,,
2009.3567,,,24.57000,
2009.3703,,24.11000,,
2009.3839,,,23.74000,
2009.3975,,24.26000,,
2009.4107,,,23.29000,
2009.4246,,23.93000,,
2009.4382,,,25.30000,
2009.4518,,27.78000,,
2009.4653,,,25.92000,
2009.4789,,24.98000,,
2009.4925,,,24.13000,
2009.5061,,24.77000,,
2009.5197,,,22.19000,
2009.5332,,24.75000,,
2009.5468,,,23.64000,
2009.5604,,27.90000,,
2009.5740,,,27.17000,
2009.5875,,27.15000,,
2009.6011,,,23.95000,
2009.6147,,25.22000,,
2009.6283,,,24.92000,
2009.6418,,24.50000,,
2009.6554,,,25.08000,
2009.6690,,26.63000,,
2009.6826,,,25.70000,
2009.6947,,29.39000,,
2009.7097,,,28.57000,
2009.7360,,23.90000,,
2009.7369,,,27.85000,
2009.7504,,29.47000,,
2009.7640,,,27.12000,
2009.7776,,28.19000,,
2009.7911,,,28.21000,
2009.8047,,27.45000,,
2009.8184,,,28.64000,
2009.8319,,29.97000,,
2009.8455,,,28.30000,
2009.8590,,26.45000,,
2009.8726,,,24.87000,
2009.8862,,27.18000,,
2009.8998,,,27.50000,
2009.9133,,27.99000,,
2009.9269,,,26.61000,
2009.9405,,27.53000,,
2009.9540,,,24.75000,
2009.9676,,28.21000,,
2009.9812,,,29.54000,
2009.9948,,28.07000,,
2010.0084,,,26.40000,
2010.0219,,29.40000,,
2010.0355,,,25.88000,
2010.0491,,26.55000,,
2010.0626,,,24.94000,
2010.0762,,22.55000,,
2010.0898,,,21.26000,
2010.1033,,24.59000,,
2010.1170,,,25.44000,
2010.1305,,28.65000,,
2010.1441,,,27.78000,
2010.1576,,30.92000,,
2010.1712,,,31.40000,
2010.1850,,30.34000,,
2010.1983,,,25.15000,
2010.2120,,26.13000,,
2010.2255,,,25.74000,
2010.2390,,26.33000,,
2010.2527,,,25.51000,
2010.2655,,25.97000,,
2010.2799,,,28.28000,
2010.2935,,31.40000,,
2010.3069,,,28.54000,
2010.3205,,28.82000,,
2010.3341,,,25.79000,
2010.3477,,27.53000,,
2010.3612,,,26.01000,
2010.3748,,28.92000,,
2010.3884,,,30.25000,
2010.4019,,27.26000,,
2010.4155,,,30.19000,
2010.4277,,28.22000,,
2010.4427,,,30.27000,
2010.4562,,30.05000,,
2010.4698,,,30.66000,
2010.4833,,28.51000,,
2010.4970,,,30.22000,
2010.5105,,27.07000,,
2010.5242,,,29.85000,
2010.5377,,28.70000,,
2010.5513,,,30.26000,
2010.5639,,28.76000,,
2010.5784,,,28.26000,
2010.5920,,28.64000,,
2010.6055,,,26.52000,
2010.6192,,31.09000,,
2010.6328,,,27.58000,
2010.6463,,27.55000,,
2010.6599,,,23.75000,
2010.6733,,25.60000,,
2010.6870,,,25.39000,
2010.7006,,25.59000,,
2010.7142,,,24.78000,
2010.7277,,25.04000,,
2010.7414,,,23.91000,
2010.7549,,23.52000,,
2010.7685,,,25.03000,
2010.7820,,25.59000,,
2010.7956,,,28.27000,
2010.8092,,29.21000,,
2010.8228,,,26.46000,
2010.8364,,28.59000,,
2010.8499,,,25.57000,
2010.8635,,26.23000,,
2010.8771,,,26.79000,
2010.8906,,22.31000,,
2010.9043,,,22.66000,
2010.9178,,20.97000,,
2010.9314,,,23.90000,
